Vehicle,AllCoverages,Collision,PropertyDamage,Comprehensive,Pip,MedPay,BodilyInjury
Cadillac XT6 4dr 4WD,-8.0,7,-18.0,0.0,-3.0,-8.0,-24.0
Genesis GV70 4dr 4WD,,70,-29.0,38.0,-5.0,,
Genesis GV80 4dr,,6,-9.0,65.0,,,
Genesis GV80 4dr 4WD,3.0,25,-24.0,71.0,-24.0,-7.0,-30.0
Infiniti QX50 4dr,-3.0,12,-17.0,4.0,-9.0,1.0,-14.0
Infiniti QX50 4dr 4WD,-2.0,22,-19.0,19.0,5.0,-11.0,-30.0
Infiniti QX55 4dr 4WD,,96,-6.0,25.0,,,
Infiniti QX60 4dr,,46,,,,,
Infiniti QX60 4dr 4WD,,-5,-44.0,-3.0,,,
Jaguar E-Pace 4dr 4WD,,9,-15.0,13.0,-9.0,,
Jaguar F-Pace 4dr 4WD,13.0,44,-8.0,56.0,-21.0,-6.0,-19.0
Jaguar I-Pace electric 4dr 4WD,,116,18.0,61.0,,,
Land Rover Defender 110 4dr 4WD,17.0,36,10.0,125.0,-56.0,-49.0,-29.0
Land Rover Defender 90 2dr 4WD,,9,,101.0,,,
Land Rover Discovery Sport 4dr 4WD,,4,-7.0,13.0,-32.0,,-28.0
Land Rover Range Rover Velar 4dr 4WD,34.0,75,5.0,72.0,-1.0,16.0,-4.0
Lexus NX 250 4dr,,-5,,,,,
Lexus NX 350 4dr 4WD,,4,-46.0,-26.0,-6.0,,
Lexus NX 350 hybrid 4dr 4WD,,6,-38.0,-14.0,,,
Lexus NX 450 plug-in hybrid 4dr 4WD,,13,,,,,
Lexus RX 350 4dr,-14.0,-4,-26.0,-8.0,-20.0,11.0,-22.0
Lexus RX 350 4dr 4WD,-15.0,5,-27.0,2.0,-11.0,-23.0,-37.0
Lexus RX 350 4dr LWB,,2,-41.0,15.0,-22.0,,
Lexus RX 350 4dr LWB 4WD,,-6,-24.0,15.0,-10.0,,
Lexus RX 450 hybrid 4dr LWB 4WD,,15,-23.0,22.0,,,
Lexus RX 450h hybrid 4dr 4WD,-10.0,13,-28.0,17.0,-27.0,-25.0,-33.0
Lincoln Aviator 4dr,,-2,-31.0,20.0,-30.0,,
Lincoln Aviator 4dr 4WD,-16.0,2,-23.0,20.0,-35.0,-37.0,-44.0
Lincoln Aviator plug-in hybrid 4dr 4WD,,-8,-42.0,48.0,,,
Lincoln Nautilus 4dr,-20.0,-16,-22.0,-9.0,-29.0,-25.0,-27.0
Lincoln Nautilus 4dr 4WD,-18.0,-9,-26.0,-24.0,-30.0,-14.0,-15.0
Maserati Levante 4dr 4WD,,155,45.0,152.0,-9.0,,
Mercedes-Benz GLC class 4dr,-14.0,-7,-18.0,-19.0,-18.0,-7.0,-16.0
Mercedes-Benz GLC class 4dr 4WD,-20.0,-9,-25.0,0.0,-15.0,-29.0,-38.0
Mercedes-Benz GLC class AMG 4dr 4WD,,42,-22.0,88.0,,,
Mercedes-Benz GLC class coupe 4dr 4WD,,37,-16.0,9.0,17.0,,
Mercedes-Benz GLC class coupe AMG 4dr 4WD,,111,17.0,101.0,,,
Mercedes-Benz GLE class 4dr,-2.0,18,-18.0,22.0,-28.0,-17.0,-19.0
Mercedes-Benz GLE class 4dr 4WD,-10.0,8,-26.0,36.0,-36.0,-31.0,-36.0
Mercedes-Benz GLE class AMG 4dr 4WD,,85,-14.0,108.0,,,
Mercedes-Benz GLE class coupe 4dr 4WD,,191,23.0,151.0,1.0,,
Porsche Macan 4dr 4WD,10.0,47,-2.0,40.0,-41.0,-35.0,-22.0
Tesla Model Y electric 4dr,,65,-7.0,24.0,-8.0,,
Tesla Model Y electric 4dr 4WD,13.0,69,-15.0,28.0,-15.0,-12.0,-29.0
Volvo XC60 4dr,-32.0,-25,-39.0,1.0,-44.0,-20.0,-54.0
Volvo XC60 4dr 4WD,-35.0,-26,-39.0,-3.0,-51.0,-41.0,-53.0
Volvo XC60 plug-in hybrid 4dr 4WD,,-5,-40.0,20.0,-49.0,,
Volvo XC90 4dr,,-22,-24.0,6.0,-52.0,,
Volvo XC90 4dr 4WD,-21.0,-10,-29.0,35.0,-43.0,-51.0,-48.0
Volvo XC90 plug-in hybrid 4dr 4WD,-20.0,2,-30.0,43.0,-50.0,-55.0,-59.0
Aston Martin DBX 4dr 4WD,,271,,567.0,,,
Audi e-tron electric 4dr 4WD,,90,-12.0,32.0,-39.0,,
Audi e-tron electric 4dr sportback 4WD,,87,2.0,87.0,,,
Audi Q7 4dr 4WD,-5.0,28,-27.0,41.0,-43.0,-38.0,-38.0
Audi Q8 4dr 4WD,30.0,81,1.0,93.0,-31.0,-36.0,-15.0
Audi RSQ8 4dr 4WD,,179,-12.0,298.0,,,
Audi SQ7 4dr 4WD,,90,-5.0,161.0,,,
Audi SQ8 4dr 4WD,,90,-16.0,126.0,,,
Bentley Bentayga 4dr 4WD,,269,,1101.0,,,
BMW X7 4dr 4WD,19.0,41,-18.0,160.0,-38.0,-29.0,-33.0
Cadillac Escalade 4dr,,24,-24.0,73.0,-16.0,,
Cadillac Escalade 4dr 4WD,12.0,27,4.0,37.0,-24.0,-31.0,3.0
Infiniti QX80 4dr,,14,-18.0,47.0,-43.0,,
Infiniti QX80 4dr 4WD,,9,-17.0,63.0,-48.0,,
Lamborghini Urus 4dr 4WD,,396,40.0,745.0,,,
Land Rover Discovery 4dr 4WD,,21,-24.0,64.0,-57.0,,
Land Rover Range Rover 4dr 4WD,43.0,54,2.0,239.0,-50.0,-39.0,-8.0
Land Rover Range Rover 4dr LWB 4WD,,80,18.0,353.0,,,
Land Rover Range Rover Sport 4dr 4WD,30.0,54,5.0,167.0,-40.0,-34.0,-26.0
Land Rover Range Rover Sport plug-in hybrid 4dr 4WD,,5,,84.0,,,
Lexus GX 460 4dr 4WD,-7.0,5,-13.0,17.0,-23.0,-19.0,-24.0
Mercedes-Benz G class 4dr 4WD,,44,11.0,367.0,-59.0,,
Mercedes-Benz G class AMG 4dr 4WD,,97,-8.0,363.0,-63.0,,
Mercedes-Benz GLS class 4dr 4WD,8.0,43,-14.0,89.0,-39.0,-40.0,-42.0
Mercedes-Benz GLS class AMG 4dr 4WD,,40,,73.0,,,
Porsche Cayenne 4dr 4WD,10.0,45,-12.0,87.0,-53.0,-43.0,-32.0
Porsche Cayenne Coupe 4dr 4WD,,83,-25.0,136.0,-37.0,,
Porsche Cayenne Coupe hybrid 4dr 4WD,,93,,,,,
Porsche Cayenne hybrid 4dr 4WD,,80,-4.0,106.0,,,
Tesla Model X 4dr electric 4WD,46.0,134,21.0,40.0,-30.0,-19.0,-9.0
Cadillac Escalade ESV 4dr,,45,-3.0,45.0,,,
Cadillac Escalade ESV 4dr 4WD,,49,58.0,37.0,-32.0,,
Lincoln Navigator 4dr,,9,0.0,25.0,,,
Lincoln Navigator 4dr 4WD,,13,-2.0,63.0,-45.0,,
Lincoln Navigator L 4dr,,-9,,44.0,,,
Lincoln Navigator L 4dr 4WD,,17,11.0,58.0,-35.0,,
Rolls Royce Cullinan 4dr 4WD,,488,,641.0,,,
